id,Running time,Actors Box Office %,Director Box Office %,Oscar and Golden Globes nominations,Oscar and Golden Globes awards,Release year,IMDb score,genre_encoded,AdjBudget,AdjEarnings,AdjBoxOffice,Director_mean_target
36,93,33.33,0.0,0,0.0,2005,5.5,11,76192698.4126984,-11551796.210957501,64640902.201740906,6.133495302883057
37,106,0.0,42.85,0,0.0,2011,5.0,0,37344546.74378387,16004805.747335944,53349352.49111982,6.344538926681783
38,105,50.0,50.0,0,0.0,2012,5.9,0,72129424.11387058,49131636.71524517,121261060.82911575,6.419209588597343
39,121,46.11,75.0,0,0.0,1997,6.7,0,74768535.82554516,747685.3582554517,75516221.18380062,7.073378684807255
40,90,30.55,75.0,0,0.0,1995,6.3,1,47245472.44094488,122838228.34645668,170083700.78740156,6.3482741244645995
41,106,83.33,100.0,0,0.0,2014,5.2,12,5069085.39470127,12165804.947283048,17234890.34198432,5.916808390022675
42,112,42.85,0.0,0,0.0,2013,6.2,7,16484209.532231273,-13908551.792820135,2575657.739411136,6.4620667314544855
43,100,16.67,77.0,0,0.0,2013,4.9,0,133934202.44937909,117449992.91714782,251384195.3665269,6.195319080012957
44,97,75.0,60.0,0,0.0,2004,6.3,0,73691932.23928005,-10164404.446797248,63527527.79248279,6.42896447467876
45,110,22.22,0.0,0,0.0,2004,5.3,3,49551471.67813658,-40657617.78718899,8893853.890947592,6.2724111866969
46,141,0.0,33.33,0,0.0,2009,7.2,1,78310454.60689764,-36917785.74325174,41392668.8636459,6.904308390022675
47,101,55.55,81.81,0,0.0,2012,5.1,0,36587389.04326768,-5226769.863323955,31360619.179943725,5.995904195011338
48,93,55.55,50.0,0,0.0,2006,5.1,0,47620436.507936515,-29762772.81746032,17857663.69047619,6.133495302883057
49,206,88.89,35.71,0,0.0,2004,5.5,0,196935336.15669668,15246606.670195872,212181942.82689252,6.8228666905358635
50,113,53.84,33.33,0,0.0,2016,6.4,1,170000000.0,129000000.0,299000000.0,6.529308390022675
51,116,61.0,40.0,0,0.0,1997,6.3,0,112152803.73831776,127106510.90342678,239259314.64174452,6.90344671201814
52,86,0.0,66.67,0,0.0,2009,5.4,1,50342435.1044342,14543370.14128099,64885805.245715186,6.0668083900226755
53,102,83.33,100.0,0,0.0,2007,4.7,0,46301665.84676525,104178748.1552218,150480414.00198707,5.919209588597343
54,120,0.0,50.0,0,0.0,1993,7.1,3,53150339.10034602,9965688.581314879,63116027.681660905,6.4482741244646
55,128,61.0,0.0,0,0.0,2006,6.2,12,65478100.1984127,23572116.071428575,89050216.26984128,6.433495302883058
56,220,61.0,50.0,0,0.0,2000,5.8,7,79444825.78397213,-54356986.06271777,25087839.721254356,6.590638160025914
57,120,61.0,66.67,0,0.0,2016,5.8,0,110000000.0,69000000.0,179000000.0,6.403133374561946
58,105,55.55,33.33,0,0.0,2015,5.4,4,37466759.76828667,-11138766.41759874,26327993.35068793,6.623446712018139
59,94,0.0,0.0,0,0.0,2005,2.3,8,24578289.810547873,-9831315.92421915,14746973.886328723,4.959385235575711
60,78,100.0,100.0,0,0.0,2006,6.1,5,1190510.9126984128,4762043.650793651,5952554.563492064,6.405744520030233
61,104,88.89,50.0,0,0.0,2001,6.3,5,81312365.89497459,204636120.83568606,285948486.7306607,6.237163013353489
62,90,93.33,100.0,0,0.0,2004,5.9,4,53363123.34568555,165171572.26045528,218534695.60614082,6.429308390022675
63,90,26.66,0.0,0,0.0,2010,5.3,2,22013336.02377371,4402667.204754742,26416003.22852845,6.2724111866969
64,92,83.33,25.0,0,0.0,2007,5.2,2,69452498.77014787,348420035.4969085,417872534.2670564,6.059385235575712
65,87,100.0,100.0,0,0.0,2011,4.4,2,80024028.73667973,284885542.3025798,364909571.03925955,6.114940791131267
66,92,77.0,100.0,0,0.0,2015,5.0,2,91135361.59853514,145816578.55765623,236951940.15619135,6.141808390022675
67,88,100.0,75.0,0,0.0,2009,4.5,2,83904058.50739034,411689247.0762619,495593305.5836522,5.9482741244646
68,94,50.0,20.0,0,0.0,2001,6.0,0,47432213.43873518,-28459328.06324111,18972885.375494074,5.98344671201814
69,108,50.0,50.0,0,0.0,2001,6.4,4,40656182.947487295,348287967.2501412,388944150.1976285,6.233495302883057
70,113,58.33,100.0,0,0.0,2012,6.7,4,52267698.633239545,203844024.66963422,256111723.30287376,6.5192095885973425
71,102,50.0,50.0,0,0.0,2001,5.7,4,65049892.71597968,61119795.031055905,126169687.74703558,6.1763524457402
72,103,0.0,61.5,0,0.0,2000,6.3,4,19512764.227642275,-19408231.562137052,104532.66550522648,6.546359284454522
