id,Running time,Actors Box Office %,Director Box Office %,Oscar and Golden Globes nominations,Oscar and Golden Globes awards,Release year,IMDb score,genre_encoded,AdjBudget,AdjBoxOffice,Director_mean_target,Actor 1_mean_target,Actor 2_mean_target,Actor 3_mean_target
1770,0.4387096774193548,9.918367346938785e-12,0.615,0.13636363636363635,0.07692307692307693,0.8965517241379288,0.5974025974025974,0,0.5315472315166772,1030212065.0905268,0.6967329667867426,0.6787272594140865,0.5928065816012582,0.6557297724005897
1771,0.3258064516129032,9.918367346938785e-12,0.615,0.13636363636363635,0.0,0.8390804597701162,0.7402597402597402,0,0.33005919351338847,1095307098.3879933,0.6967329667867426,0.6787272594140865,0.5928065816012582,0.6557297724005897
1772,0.3741935483870968,1.2733714285714296e-11,1.0,0.13636363636363635,0.0,0.8045977011494259,0.6363636363636364,0,0.2948700408285985,1479514939.9759905,0.7474232578982751,0.7146961154341986,0.8017831259401071,0.5841113111608771
1773,0.3096774193548387,1.3061387755102053e-11,1.0,0.13636363636363635,0.0,0.5862068965517224,0.6753246753246752,0,0.27994593101312604,553414199.0291262,0.6106060083765663,0.5218430183063703,0.5759187405989334,0.47751550854737834
1774,0.5419354838709678,1.0121142857142865e-11,0.5,0.13636363636363635,0.0,0.5632183908045967,0.7402597402597402,0,0.360349203239105,1104326687.1165643,0.6743039551952048,0.7127942101118245,0.3565448516340761,0.4855320397407188
1775,0.25806451612903225,1.2244408163265317e-11,1.0,0.13636363636363635,0.0,0.9310344827586192,0.8051948051948051,2,0.5093480597879372,651594746.3037019,0.66383857012358,0.7110652052733029,0.6541418820365554,0.7791042507878272
1776,0.3064516129032258,8.963265306122457e-12,0.8571,0.13636363636363635,0.23076923076923078,0.8965517241379288,0.844155844155844,0,0.22662723763222253,513948490.8990943,0.8110748203174825,0.8059733755554075,0.4535300150417063,0.8461239712857056
1777,0.3709677419354839,8.816326530612252e-12,0.75,0.13636363636363635,0.15384615384615385,0.7586206896551708,0.7662337662337662,7,0.09810328176132242,286622532.8083989,0.7952860269911581,0.928404703104857,0.7415396810474495,0.6818484035536154
1778,0.41935483870967744,1.0775020408163274e-11,0.75,0.13636363636363635,0.07692307692307693,0.8735632183908031,0.6883116883116883,1,0.3937123049001321,915541295.4429083,0.6916872059153039,0.6195416204300535,0.5670786043119551,0.6232061481179723
1779,0.4967741935483871,1.1835918367346949e-11,0.615,0.13636363636363635,0.0,0.8850574712643677,0.6493506493506492,9,0.2648664049396134,904788293.6507938,0.7024336855168136,0.9821100772478486,0.5380575117370894,0.4855320397407188
1780,0.5387096774193549,1.0611918367346949e-11,1.0,0.13636363636363635,0.07692307692307693,0.9885057471264354,0.8181818181818182,5,0.07929960551150488,156955344.97525495,0.9526401828578703,0.718980338149994,0.810043757691782,0.8080644446367549
1781,0.5225806451612902,1.3469877551020421e-11,0.7272,0.13636363636363635,0.0,0.954022988505745,0.8181818181818182,1,0.33490390793697444,1063124990.2000923,0.8820881952463853,0.7866687836276074,0.8080874811978664,0.8667067000723971
1782,0.5354838709677419,1.3469877551020421e-11,0.7272,0.13636363636363635,0.0,0.9655172413793096,0.8181818181818182,1,0.4125870620532004,986992045.7423475,0.8820881952463853,0.7866687836276074,0.8080874811978664,0.8667067000723971
1783,0.4,0.0,0.3333,0.13636363636363635,0.0,0.954022988505745,0.7142857142857142,7,0.05953642720145621,33451327.12527331,0.7836970334169533,0.655659275136466,0.5864259993618668,0.6427535665965203
1784,0.3935483870967742,7.34693877551021e-12,0.5,0.13636363636363635,0.0,0.816091954022987,0.7142857142857142,0,0.27287707388326726,299660307.78164923,0.5290329295310423,0.6514019746413382,0.6135888144400381,0.848608716025252
1785,0.3967741935483871,6.1229387755102095e-12,0.6667000000000001,0.13636363636363635,0.0,0.862068965517242,0.7532467532467533,7,0.15829628686155375,195664785.600847,0.557606889426689,0.6257246374560577,0.47567934576173343,0.7328519474598489
1786,0.24838709677419357,1.469387755102042e-11,0.6667000000000001,0.13636363636363635,0.0,0.9195402298850581,0.7142857142857142,2,0.20907080856984434,302054610.62660515,0.7075279218876576,0.6886165602721208,0.40179218514973325,0.6366873447298378
1787,0.2935483870967742,1.3293551020408176e-11,0.875,0.13636363636363635,0.0,0.8275862068965516,0.5974025974025974,4,0.08924471935352034,223609006.21118015,0.4790420114365723,0.5685389690515263,0.5976845600300833,0.554790183443056
1788,0.38387096774193546,1.3713795918367359e-11,1.0,0.13636363636363635,0.0,0.8045977011494259,0.7402597402597402,5,0.10256187014548904,184399135.65426174,0.6947013047449975,0.8832140424796866,0.7836609462600852,0.8371048460121031
1789,0.267741935483871,1.257061224489797e-11,1.0,0.13636363636363635,0.0,0.9310344827586192,0.5714285714285714,0,0.19590156911710238,305985370.73045456,0.542214003786937,0.6996809519618337,0.40072046355804725,0.5026479037340823
1790,0.38387096774193546,1.1314285714285724e-11,0.0,0.13636363636363635,0.07692307692307693,0.9425287356321839,0.6623376623376623,7,0.06076855523695974,57617300.6904094,0.706889122528827,0.8459352747410152,0.6218805551757143,0.4928623216701742
1791,0.25806451612903225,8.32555102040817e-12,0.6667000000000001,0.13636363636363635,0.07692307692307693,0.9195402298850581,0.7402597402597402,3,0.06968861115516853,35799064.963153206,0.7160789999827641,0.7717254554773771,0.6476379107981218,0.7037070652277153
1792,0.4,6.465306122448985e-12,0.6923,0.13636363636363635,0.0,0.8965517241379288,0.7142857142857142,0,0.30903804679018326,821854568.7800832,0.6302245816025787,0.8014072037649687,0.5251318285929165,0.6607697504797581
1793,0.3,8.816326530612252e-12,0.6,0.13636363636363635,0.0,0.7701149425287355,0.6103896103896104,0,0.2504794154598685,755662574.888464,0.42590272152225994,0.8832140424796866,0.47567934576173343,0.5645638926823295
1794,0.4290322580645161,1.3061387755102053e-11,0.6923,0.18181818181818182,0.0,0.7931034482758612,0.6493506493506492,0,0.3669010521625828,815729312.8834356,0.6302245816025787,0.6776235841089453,0.67094978384121,0.4928623216701742
1795,0.27419354838709675,4.897469387755106e-12,0.0,0.18181818181818182,0.07692307692307693,0.7011494252873547,0.5844155844155844,0,0.32683802492736175,189140941.08645755,0.6305682190316966,0.576507946369555,0.28865452694592575,0.5881559867530939
